Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-BC-A10U-01A-11R-A131-07	0.000960968412671551	0	0.00459270706496803	0.0950241009194828	0	0.186024813950926	0.0046529653180695	0.0128214530232292	0	0.0727157803482337	0	0	0.0041653127465925	0.151766705394013	0.0131210029254932	0.235895468674256	0.00440837421681417	0	0.212273749286125	0	0	0.00157659771912557	0.203	0.0630049158474695	1.06250865588899
TCGA-DD-AACV-01A-11R-A41C-07	0.00956700693300452	0	0.000451105045069758	0	0	0.337426192466263	0	0	0.00744625253755299	0	0.0628008909046431	0.0543675469330446	0.0509486632280014	0.0264353905744635	0.059367286811501	0.195809264938782	0	0.00595207062629261	0.189428329001381	0	0	0	0.888	-0.0275423857702513	1.09399985158635
TCGA-DD-AAVY-01A-11R-A41C-07	0.0445365454259758	0	0	0.0463355587099944	0	0.14249521761797	0	0	0	0	0	0.111003944461581	0.0330421068195159	0.0574481532338612	0.137197516983537	0.149167731740954	0.0125647122405443	0	0.250903631904963	0	0	0.0153048808611037	0.428	0.0189078028690097	1.08528395209158
TCGA-FV-A3R3-01A-11R-A22L-07	0.0180697615092573	0	0	0.0847936480499717	0	0.35640226074118	0	0	0	0	0	0.0441642253599442	0.00773916564007759	0.0716788501204029	0.0240607952988064	0.267507023156935	0.0737363944641406	0	0.0518478756592846	0	0	0	0.549	0.00433573039628866	1.08897252737926
TCGA-ED-A97K-01A-21R-A38B-07	0.0583271576201917	0	0.0326466838409571	0.0632618064661575	0	0.155884287454223	0	0.00239760253791535	0.0222817494940042	0	0	0.0337003958839133	0.00457497239242098	0.409465652513668	0.0455646840953547	0.129882697451071	0.0027450979457722	0	0.0381658970321996	0	0	0.00110131527215142	0.033	0.163807904548259	1.04076573655223
TCGA-BC-A10W-01A-11R-A131-07	0	0.0119996844154073	0	0.0281064606572649	0	0.11539894864581	0	0.0423142032764258	0	0	0	0.0399297022187415	0.0308092273866392	0.154771966549812	0.117101757110454	0.234105083136366	0.154189237059218	0	0.0703263881556587	0	0	0.000947341388201568	0.423	0.0196884722064934	1.08304361269665
TCGA-DD-A3A8-01A-11R-A22L-07	0.0164422106659548	0	0	0.0549636176713572	0	0.13808848407847	0	0	0	0	0	0.0798630675554424	0.0542539608076107	0.156471897355456	0.178954927366819	0	0.0118103394490255	0	0.309151495049865	0	0	0	0.212	0.0594588985717729	1.08544724891349
TCGA-DD-AACT-01A-11R-A41C-07	0.0858637497205835	0	0.00734223108674249	0.298364235324851	0	0.102864193915278	0.00101209216566221	0.0109761160364985	0.0444768260380605	0	0	0.0530276085136749	0.0341305897912816	0.0510840639178932	0.0814127632085522	0.16316171743686	0.0259097879492466	0	0.0351243031901199	0	0	0.0052497217046947	0.275	0.0434130204534248	1.07903027147343
TCGA-5R-AA1C-01A-11R-A41C-07	0	0	0.00152359394872622	0.254997146277453	0	0.0780957983197941	2.91830019196202e-05	0.0126209677819055	0	0	0	0.0470510756855201	0.0174818219020886	0	0.11092819404946	0.322055780180325	0.00862632005254881	0	0.14192261835043	0	0	0.00466750044982882	0.488	0.0111439423698173	1.08772123704057
TCGA-5R-AAAM-01A-12R-A41C-07	0.0730169718791517	0	0.0164144941780442	0.0782054271143784	0	0.240365577155057	0	0	0	0	0	0.0478049734451094	0.0464307135773534	0.0547583140626327	0.0842081094514124	0.326841786916961	0.0207928943822654	0	0.0111607378376339	0	0	0	0.136	0.0827601592490367	1.05340625359102
TCGA-BW-A5NP-01A-11R-A27V-07	0.0492564190302943	0	0.00932501292894422	0.14410843207703	0	0.174071015937111	0	0	0.00861329704818946	0.0117055462195989	0	0.0551811162540393	0.0324008607224277	0.0829642661447346	0.17224936492249	0.128713084200873	0.0734224988230823	0	0.057989085691186	0	0	0	0.67	-0.00851079803591059	1.09975175530592
TCGA-WX-AA44-01A-11R-A39D-07	0.0794112533905226	0	0.00573573509042121	0.0414101616783966	0	0.294646276037495	9.60913671798798e-05	0	0.0347860321167949	0	0.000714299490765107	0.00828919790080009	0.00502093644121211	0.168952786693013	0.150491311127235	0.132756359140073	0.0249581266370123	0	0.0527314328890798	0	0	0	0.247	0.0506090213312085	1.07429104021906
TCGA-DD-A1EH-01A-11R-A131-07	0.0512498003921095	0	0	0.0912233645695705	0	0.275623493344554	0	0.00983695797167167	0.00388158463411837	0	0	0.0765003076678491	0.0178322297775192	0.118584069325858	0.102930182993591	0.158922671417604	0.0130036241530217	0	0.0752371860834033	0	0	0.00517452766912962	0.221	0.0565455017543467	1.0667869121132
TCGA-DD-A3A1-01A-11R-A213-07	0	0.000315516682390042	0	0.14076015014569	0	0.195167532132	0	0.0157116851831702	0.0284480878225471	0	0	0.0411657796724163	0	0.163313036464709	0.0354122958965949	0.27763971699755	0.000530475218346093	0	0.0310621248387958	0	0	0.0704735989457904	0.358	0.0284957659697542	1.08607511767709
TCGA-KR-A7K0-01A-12R-A33R-07	0.0728691153956698	0	0.0107247852471018	0.0722108011346587	0	0.124016611539022	0	0.00144775590959761	0.0215373179509994	0	0	0.0698784477419326	0	0.196634406894978	0.0740732950569081	0.286009662893358	0.0594500284068174	0	0.00980639449744103	0	0	0.0013413773315154	0.085	0.112651461586806	1.04859245274573
TCGA-FV-A3R2-01A-11R-A22L-07	0.00071183152634158	0	0.000166145776842689	0.0734970252916375	0	0.351677373775025	0	0.000276563204668501	0	0	0	0.0402280927659982	0.00582076661784667	0.129267314681405	0.0933439898402749	0.218814342043901	0.0305692739258037	0	0.03258021652406	0	0	0.0230470640261953	0.335	0.0331567821195588	1.08269136856639
TCGA-DD-AACN-01A-11R-A41C-07	0.0979079868294183	0	0.00774019924246946	0.0864891118567016	0	0.273379545322949	0	0	0.00292563911793922	0	0	0.0640417022458249	0.0183854190107006	0.0493091240339878	0.172574199965275	0.0979881599727248	0.0464140546810606	0	0.0828448577209487	0	0	0	0.13	0.0844408544540724	1.06251930029169
TCGA-DD-AAE4-01A-11R-A41C-07	0.0145436139348363	0	0.00582391681877598	0.220771505655968	0	0.232129101726744	0	0.000242712382584437	0.0297040769385806	0.0413668160430592	0	0.0555548073738366	0	0.0360157579830667	0.136916422101509	0.133649079133604	0.0207643126847773	0	0.0694279650655645	0	0	0.00308991215709391	0.071	0.129671531498607	1.05512356343812
TCGA-DD-AAEG-01A-11R-A39D-07	0.0433512916536765	0.00650013760231889	0.019432385427095	0.0345058844444757	0	0.302276900662139	0	0	0.00764550659084642	0	0	0.128529912331932	0	0.176335436245638	0.0973499071245492	0.0866702303545116	0	0	0.0904402138863922	0	0.0025407590478095	0.00442143462861581	0.257	0.0485513117160499	1.07570147134867
TCGA-DD-A1EJ-01A-11R-A155-07	0	0.00643327774010888	0.00575906848539367	0.0840591332104233	0	0.181648097129506	0.00603559368021214	0.0122767627586522	0.00138661351671299	0	0	0.0512949737812122	0.0485955288748298	0.133088996781923	0.0896339617056019	0.32843289435898	0.00969125455782401	0	0.0355159675078348	0	0	0.00614787591078481	0.44	0.0168020977788796	1.08660409021644
TCGA-DD-A4NR-01A-11R-A311-07	0.0264450148757518	0	0.00383142312215411	0.277680457408241	0	0.125712443042277	0.0413011419258127	0.0647385534020014	0.044028150981511	0	0.00431792393216783	0.020283798849742	0.00640140484997472	0.104292535877441	0.0607344456101965	0.196756388421717	0.0120452559175643	0	0	0	0	0.0114310617834474	0.018	0.206561945702487	1.01229969243954
TCGA-FV-A2QQ-01A-11R-A22L-07	0.0728987367783499	0	0.00569567506568109	0.176291079142174	0	0.159991597561659	0.00386158778651262	0.0327960882920852	0.0564706168999076	0.000241487208731808	0	0.0353390159551429	0.0113575460997269	0.0588631302382868	0.111570217481298	0.176993291722628	0.0675135615410046	0	0.0301163682268119	0	0	0	0.381	0.0249742382048057	1.0798283237181
TCGA-G3-AAV7-01A-11R-A38B-07	0	0.0365081914788039	0	0.0173810365347893	0	0.136422489881546	0.000311090319373982	0.0166175434772857	0.0180997839099225	0	0.000127718306554466	0.00266507804805053	0	0.581087363092855	0.0338103536851662	0.119374734329106	0	0	0.0375946169365465	0	0	0	0.019	0.189137487676973	1.06784343031868
TCGA-CC-A9FW-01A-11R-A37K-07	0.0528411247312016	0	0.00892082223978936	0.13606398234675	0	0.139074043295647	0	0.0418261270964841	0.0704781993375199	0	0	0.0285720328336848	0.017035277338785	0.272595438825531	0.0761606195555326	0.0570611567044395	0.0131733865496908	0	0.0861977891449446	0	0	0	0.165	0.0717460718382629	1.06295682062576
TCGA-RC-A6M4-01A-11R-A32O-07	0.0493379693555986	0	0.00946641839332509	0.0337824874144522	0	0.0715209499767817	0	0	0.0247480985781545	0	0	0.0628830642967268	0.00437095556189512	0.161886361664041	0.159307863900868	0.323144524392387	0.0230005974686701	0	0.0727835813002593	0	0.00376712769684059	0	0.314	0.0367819219137847	1.09079802811378
TCGA-G3-A3CG-01A-11R-A213-07	0.0840513278067979	0	0.00583785524083425	0.121411224109696	0	0.207593956599327	0	0	0.0890054597732329	0	0	0.0454149466716369	0.0102911506122777	0.00657229311015171	0.221767273076602	0.114272236582568	0.0314564186095038	0	0.0483902612705446	0	0	0.0139355965368282	0.359	0.0284754035656589	1.10731120541761
TCGA-DD-A11C-01A-11R-A131-07	0.000129916633810331	0.0135663407444386	0	0.0646363207437162	0	0.325686809100264	0	0	0.00639957768850125	0.0297070430825175	0	0.0557991397143137	0.0406020714152213	0	0.0463970422858374	0.326169268075124	0.00422469563580609	0.00671348345034554	0.0799682914301039	0	0	0	0.583	0.000179682239791391	1.08911259727089
TCGA-DD-AAD2-01A-11R-A41C-07	0.0491282955837487	0	0	0.0799112310958645	0	0.24486531848763	0.0128254720286784	0.00661144902670387	0.0429909076645739	0	0.0039654542048709	0.0273556468478717	0.0150572968998633	0.243511132868404	0.0950295457018011	0.131013122063692	0.0186071700229309	0	0.0291232182033277	0	0	4.73930003877863e-06	0.105	0.101831912144543	1.05342430059241
TCGA-NI-A8LF-01A-11R-A36F-07	0.147771999189391	0	0.0215193291537641	0.117126202684598	0	0.213872074877101	0	0	0.00509241324131094	0.0109998647926333	0.00448035409604048	0.0158938851961218	0.0220536293855253	0.0268241779799209	0.047126348424434	0.191923517848741	0	0.00269115461350935	0.172625048516908	0	0	0	0.744	-0.0154589659623587	1.08399704664125
TCGA-DD-AADN-01A-11R-A41C-07	0	0.0308720130815903	0.00576391247451855	0.475259054055606	0	0	0.109633175773504	0.0220707265222921	0.0328467380240593	0	0	0.0224226424602937	0.0225444350112785	0.115181494749448	0.0650673331214961	0.0742369828066818	0.00514179283631475	0	0.0189596990829168	0	0	0	0.106	0.101271524564817	1.07312140766711
TCGA-EP-A12J-01A-11R-A131-07	0.0493270713907304	0	2.56326731733909e-05	0.116770439293028	0	0.145348784899378	0	0	0	0.0448246968526003	0.00424593988089718	0.077100519641787	0.039978180999349	0.00265741194061675	0.135502524046041	0.255399346589715	0.00327472127456896	0	0.125544730518115	0	0	0	0.539	0.00538202999941169	1.08950942112134
TCGA-DD-A73G-01A-22R-A32O-07	0.0231851123214783	0	0	0.1158269861105	0	0.140518543469411	0	0	0.056503152462284	0	0	0.0576462037353627	0.0305404192103936	0	0.0410634658369583	0.41201084627399	0.00853952421259864	0	0.114165746367023	0	0	0	0.362	0.0279041534076994	1.07468611905302
TCGA-5C-AAPD-01A-21R-A39D-07	0.00377811304972127	0.00615755139146052	0.0731996795941649	0.22837586368879	0	0.0835931334949956	0.0328751611732284	0.0357084402824982	0.0750290099590032	0	0	0.0169341097716935	0.00731853539371762	0.171098974851747	0.0908149430971401	0.101428678747413	0.0399372406865315	0	0.0218747953677584	0	0	0.0118757694501376	0.0590000000000001	0.139144978736051	1.03367254377783
TCGA-DD-AAED-01A-12R-A41C-07	0.0553511542428878	0	0.0181481853381505	0.0120879327588802	0	0.25339134926498	0.00417776989020334	0.0252224558306722	0.0275057750802797	0.0206039878528371	0.0285159384933197	0	0	0.256630843972454	0.0649677742824595	0.222127113175325	0	0	0.011269719817551	0	0	0	0.091	0.109283260719584	1.05168480002752
TCGA-DD-AADJ-01A-11R-A41C-07	0.0742440909881198	0	0	0.202440029591833	0	0.228830404896457	0.0623170756387491	0	0.0280958319799689	0	0.00329362035066985	0.025649664657298	0.0419840072445787	0.0134090820502712	0.0590474536821924	0.120588507957976	0.0820512861159076	0	0.058048944845979	0	0	0	0.765	-0.0173540478629243	1.09349809769058
TCGA-DD-AAVZ-01A-11R-A41C-07	0.0822115640022611	0	0	0.0377906864530767	0	0.38005217177177	0	0	0.0384463836039745	0	0	0.0682621638288171	0.0141394672512485	0.0285287750508962	0.0639459426295462	0.120278564748043	0.113792472185368	0	0.0525518084749995	0	0	0	0.835	-0.023089070625293	1.09752730950191
TCGA-XR-A8TF-01A-11R-A36F-07	0.0629939263013709	0	0.00699362337155869	0.274845238399858	0	0.0796726490662526	0.0502341093585728	0.0854417013542216	0.00395678606905185	0.0412293415400565	0	0	0.0203287226173868	0.0407355969407706	0.0918022993085857	0.241766005672314	0	0	0	0	0	0	0.729	-0.0141269086021649	1.1052008029307
TCGA-DD-AACF-01A-11R-A41C-07	0.0527742337858019	0	0	0.110384343081805	0	0.152730302561079	0	0	0.0125616911668309	0.0120229122486149	0	0.0365762193146326	0.0323762496747884	0.0352608131373981	0.0541231803986248	0.349619333082579	0.0334465396713544	0	0.108771905343617	0	0	0.00935227653287448	0.377	0.0255213670465185	1.06889928138254
TCGA-FV-A495-01A-11R-A266-07	0.0669093230135635	0	0.0216908699726538	0.183947275263328	0	0.259321961828504	0	0.0327439727430998	0.0481356159770526	0.00990885933339991	0	0.0531044845441804	0.0384753822961679	0.0157655637561528	0.0587542573792592	0.13298876056347	0.0196515173466188	0	0.0586021559825501	0	0	0	0.0669999999999999	0.133800339384391	1.04264435929894
TCGA-DD-A3A3-01A-11R-A22L-07	0.0354636384626577	0	0.00793919776343996	0.0670697447492436	0	0.297512285868043	0	0	0	0.0143864557614791	0.0142963165810715	0.0195362777651695	0.00223953436626397	0.130583070737887	0.0774738846344261	0.220787287774147	0.0592439480117275	0	0.0488161475466009	0	0	0.004652209977844	0.155	0.0777949321522288	1.0544876427651
