gene	conMean	treatMean	logFC	pValue	fdr
TSC1	3.28551902	4.08977563622995	0.804256616229946	2.40859870784165e-24	3.2781436650794e-23
LAMA5	3.20642784	4.00224030058824	0.795812460588236	7.84783308036101e-14	2.19297404615086e-13
LDLR	4.88496852	4.26986414256684	-0.615104377433155	1.07318811152386e-07	1.88383755745037e-07
RHOT2	3.9769493	4.73773168270053	0.760782382700534	4.81322496201231e-24	5.97123821481106e-23
PSEN2	3.06823444	3.69346268371658	0.625228243716577	2.86208077035602e-15	9.12004308966621e-15
SCAMP2	4.70761978	5.3686124176738	0.660992637673797	1.98424902944016e-20	1.15688921960693e-19
TMED3	2.58374102	3.28112364994652	0.697382629946524	0.000184164941158958	0.000254853348779113
ZHX2	4.81847824	5.45865370684492	0.640175466844919	2.44557733044438e-11	5.6152286352522e-11
TBC1D13	3.55052194	4.48630487794118	0.935782937941176	1.11186931448505e-23	1.24633777345767e-22
QPCTL	2.62923938	3.26903477451872	0.639795394518717	3.55254971357477e-21	2.35583120270315e-20
RAD51AP1	1.78891082	2.86889490716578	1.07998408716578	3.78444235950852e-23	3.68962244608596e-22
RFC3	2.55742818	3.44697303877005	0.889544858770054	4.29761763689718e-22	3.31825669464273e-21
EIF2B1	4.73696404	5.58011272903743	0.843148689037433	2.69298670109583e-27	1.60723996829591e-25
EXOC3	3.52817364	4.34511912941176	0.816945489411764	6.34302846871573e-25	1.04725178437694e-23
SLC36A1	2.41493518	3.10722490336898	0.692289723368984	3.6866588689509e-20	2.05064595651406e-19
MPDZ	5.90262092	5.13239525144385	-0.77022566855615	1.3465417988927e-08	2.52956267750302e-08
JUN	6.53481322	5.69489701347594	-0.839916206524064	1.17886297678822e-09	2.38608998028651e-09
CSE1L	4.51518268	5.48548304243316	0.970300362433155	9.04492891716864e-26	2.09695163058663e-24
RPS18	9.76677186	10.6283082754545	0.861536415454545	1.79919210659279e-18	8.00214696753984e-18
ATN1	3.29582592	3.96137292663102	0.665547006631016	1.01804948961333e-18	4.68355788633049e-18
CSRP2	3.94787242	4.6506409323262	0.702768512326203	1.70348283053417e-07	2.95094407572236e-07
ADRA1B	3.13438256	2.46984411406417	-0.664538445935829	6.038105385136e-14	1.70616459375847e-13
ST6GALNAC4	2.19247826	2.77879655326203	0.586318293262032	3.79884626907382e-12	9.22860536158665e-12
FAHD2A	5.66193796	4.86140130930481	-0.800536650695188	6.38919743845527e-15	1.96983528704626e-14
NR4A3	3.01389566	2.33963218229947	-0.674263477700535	2.2339302908063e-13	6.00679033750138e-13
IL11RA	3.63673706	4.26190447874332	0.625167418743315	3.33999444993121e-13	8.84092627397135e-13
DCTN4	3.50246116	4.33831644382353	0.83585528382353	8.28895878052e-23	7.4939992741385e-22
PDSS1	2.68218954	3.60924226735294	0.927052727352941	1.28798767234043e-21	9.21944498361671e-21
RPAP1	2.99817224	3.75046697024064	0.752294730240642	3.13903781000944e-24	4.09560333665432e-23
KLC2	2.27168314	3.06228798358289	0.790604843582888	8.66595656021011e-24	9.97997318074784e-23
FHIT	2.6526739	3.32787670687166	0.675202806871658	6.30454849505339e-22	4.771900330489e-21
DHX9	3.82965774	4.58874210569519	0.759084365695188	1.07855584589271e-17	4.4580644767292e-17
SOX18	2.36474776	3.01740296823529	0.652655208235294	2.68330805802103e-16	9.49966335731453e-16
ACTR6	3.5849453	4.27535233066845	0.690407030668449	1.47397722077684e-15	4.84001516398581e-15
SULT1E1	4.42829914	3.51951879550802	-0.908780344491979	7.85579581584626e-08	1.3905860609493e-07
TOMM22	4.72890342	5.48582756740642	0.756924147406417	1.04011108662057e-21	7.56779343337685e-21
ALG8	4.2475285	5.05695290050802	0.809424400508021	1.15416239282615e-23	1.29047043238397e-22
EXOSC10	3.7118524	4.37846440149733	0.666612001497326	1.19984760252002e-17	4.93630827809005e-17
PRAME	1.78172964	2.41575448548128	0.634024845481283	1.43714161150435e-06	2.32028365096288e-06
PRPSAP1	5.30479272	6.01949778540107	0.71470506540107	1.51066843319185e-18	6.77346917278356e-18
