id	TCGA-BD-A3EP-11A	TCGA-G3-A3CH-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11A-11A	TCGA-DD-A3A6-11A	TCGA-DD-A1EB-11A	TCGA-BC-A110-11A	TCGA-BC-A216-11A	TCGA-FV-A3R2-11A	TCGA-DD-A3A4-11A	TCGA-BC-A10Y-11A	TCGA-BC-A10W-11A	TCGA-DD-A119-11A	TCGA-DD-A1EC-11A	TCGA-DD-A1EJ-11A	TCGA-BC-A10R-11A	TCGA-FV-A3I1-11A	TCGA-BC-A10Q-11A	TCGA-FV-A23B-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1EG-11A	TCGA-DD-A11D-11A	TCGA-BC-A10T-11A	TCGA-ES-A2HT-11A	TCGA-EP-A3RK-11A	TCGA-FV-A2QR-11A	TCGA-DD-A11C-11A	TCGA-DD-A39W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A113-11A	TCGA-DD-A39X-11A	TCGA-DD-A3A5-11A	TCGA-DD-A3A2-11A	TCGA-EP-A12J-11A	TCGA-BC-A10U-11A	TCGA-DD-A118-11A	TCGA-DD-A1EL-11A	TCGA-DD-A3A3-11A	TCGA-DD-A116-11A	TCGA-DD-A1EI-11A	TCGA-BD-A2L6-11A	TCGA-FV-A3I0-11A	TCGA-DD-A1EE-11A	TCGA-DD-A3A8-11A	TCGA-DD-A11B-11A	TCGA-DD-A114-11A	TCGA-DD-A39Z-11A	TCGA-EP-A26S-11A	TCGA-DD-A39V-11A
DNTTIP2	4.93017	4.209571	4.674935	4.293228	4.87023	4.097464	4.431101	4.987796	4.489979	4.791578	5.260931	4.931582	4.713298	4.598288	4.854993	4.848521	4.644889	4.329035	4.277577	4.705389	5.340939	4.518899	4.624461	4.424062	5.066303	4.192031	5.415895	4.290962	4.426962	4.663159	4.37673	4.339253	4.615811	4.518047	4.348056	4.715824	4.611499	4.485381	5.360054	4.143301	4.302206	4.805639	4.417399	4.515541	3.131787	4.004936	4.537447	4.334459	4.28511	4.234775
MOSPD1	2.893274	3.109402	3.016076	2.720384	3.433813	2.550546	3.067991	2.875848	3.277196	3.384232	3.940627	3.052797	3.253485	3.10664	3.254117	3.645311	2.819381	2.750772	2.903688	3.426308	3.137688	2.677308	3.286449	2.888723	3.835219	2.671531	3.93178	2.701605	2.615222	3.077891	2.869401	2.801354	2.741658	2.996335	3.28895	3.102261	3.351443	3.547024	3.452054	2.943083	2.710112	3.715163	2.644662	3.640931	2.64788	3.091276	3.555776	3.07991	3.013036	2.659618
TRIB1	9.424748	6.161647	9.369012	8.691192	9.266559	8.67157	9.242808	8.885335	8.119576	8.189148	7.801788	9.15548	9.109588	8.782439	9.542807	9.293298	8.139124	7.582066	7.474729	9.190103	8.731309	7.964218	8.607466	8.067218	7.99935	7.731304	9.584491	8.179212	8.806765	8.007011	8.893748	8.55601	9.165044	8.888255	7.17837	8.860361	7.231872	8.257538	8.791856	7.581588	8.056999	8.782694	8.667275	7.037406	8.454217	7.433263	8.203959	8.109389	8.64629	7.239079
DLGAP4	3.494181	2.894679	2.940329	2.847433	3.694318	2.820514	2.900449	3.632615	2.882948	3.430736	3.514894	3.203766	3.506173	3.139664	3.001006	3.188678	3.376363	2.891621	3.229637	3.184325	3.912631	3.304017	3.178709	3.136117	3.438037	2.791052	3.698281	2.991776	2.756345	3.115861	3.378731	2.768496	2.908023	2.806433	3.099842	3.509838	3.089954	2.981757	3.406874	2.871478	2.880354	3.470023	3.243742	3.204012	3.083363	3.060814	3.246032	2.881929	2.718352	2.914275
ADH6	8.093705	8.77078	9.017257	8.691097	7.485882	8.527752	8.813435	7.875301	7.53277	7.33642	7.731833	8.534024	7.8271	8.306131	8.216482	7.743344	7.989336	8.40824	8.353477	8.497807	6.64454	7.813626	8.396668	7.875774	7.408179	8.436541	6.489513	8.581875	8.984429	7.707021	8.416031	8.337832	8.696665	8.2067	8.135063	7.829357	8.406369	8.654893	7.414008	8.44677	8.84065	6.935125	8.426148	7.673473	8.925313	8.068817	7.855212	7.956928	8.420555	8.045013
SSR2	5.378072	5.317102	5.036591	5.453944	5.769262	5.7816	5.222651	5.632952	5.35241	5.917654	6.178206	5.185541	5.390843	5.02507	5.459092	5.627712	5.274954	5.14274	5.631993	5.654039	5.905033	5.247824	5.697117	5.430308	6.069876	5.226851	6.002502	5.348821	5.166695	6.160313	5.052429	5.300274	5.190393	5.217571	5.598769	5.39608	5.699748	5.455485	5.926383	5.340599	5.743488	6.008358	5.095354	5.370515	5.546459	5.259488	5.691637	5.457142	5.477287	5.519762
MRPS14	3.781221	3.920879	3.997035	3.792134	3.831	3.674427	4.159471	3.652606	3.772842	4.060402	4.416073	3.957204	4.007302	3.812237	3.986114	4.062702	3.531316	3.857649	3.621202	4.053186	4.038028	3.839891	4.122196	3.903197	4.139906	4.042688	4.076036	3.977973	4.006185	4.185518	3.793957	3.992093	3.965866	3.835762	4.010139	3.854836	4.047398	4.022199	3.979119	3.842563	3.998584	4.044482	3.595851	3.975542	3.929989	3.745323	4.040372	3.838561	3.970015	3.928673
DMTF1	3.740824	3.683792	3.866469	3.735099	3.916506	3.107265	3.791575	3.899087	3.710093	4.034405	4.034025	4.033004	3.932959	3.542202	3.978637	4.000776	3.79908	4.118697	3.731931	4.290229	4.340095	3.70325	3.879787	3.508901	4.071292	3.645005	4.158416	3.966948	3.426324	3.329357	3.797353	3.580886	3.651739	3.648257	3.531721	3.819937	3.653546	3.950308	3.673503	3.870427	3.720821	4.645046	3.472883	3.966163	3.095074	3.630551	4.13666	3.839342	3.404709	3.55064
CBX1	3.582683	3.593444	3.984427	3.743004	3.547919	3.239027	3.599134	3.143964	3.678584	3.646513	4.226934	3.72719	3.409254	3.636946	4.055326	3.657998	3.300539	3.688485	3.532044	4.097135	3.749704	3.079142	4.01327	3.75537	4.061095	3.586077	4.129057	3.71951	3.59443	3.229621	3.59705	3.678488	3.364098	3.817078	3.98549	3.267175	3.470889	3.708795	3.865046	3.607211	3.928551	4.044146	3.025377	3.683648	3.233692	3.559066	4.144621	3.480431	3.514256	3.514598
TESK1	3.765587	3.592524	3.374954	3.434583	3.600403	3.196318	3.346445	3.810661	3.07739	3.609697	3.892272	3.502757	3.767568	3.391652	3.267757	3.277097	3.765971	3.437022	3.870873	3.527367	3.858646	3.3993	3.71234	3.382777	3.86032	3.226907	3.93938	3.673251	3.095501	3.142288	3.765128	3.224909	3.576119	3.326537	3.690866	3.426545	3.528476	3.560807	3.497891	3.162094	3.41591	3.866018	3.518645	3.490717	3.638598	3.323766	3.721122	3.333721	3.067124	3.413234
YWHAZ	6.121184	5.579547	6.073369	5.571825	6.338533	4.952073	5.754705	6.078645	5.799955	5.672032	6.181126	5.850349	6.225694	5.805993	5.640466	6.093078	6.175894	5.122182	5.974043	6.072093	6.505217	5.68227	6.052413	5.969937	6.593431	5.21783	7.001365	5.317853	5.191523	5.108427	5.901666	5.18767	5.359279	4.978884	5.834506	6.555159	5.860695	5.767073	5.976121	5.141402	5.598988	6.420006	5.737105	5.719514	5.113412	5.518915	6.382303	5.245188	5.112209	5.501421
YEATS2	2.293398	2.202432	2.14715	1.997824	2.369262	1.731825	2.206635	1.992903	2.1232	2.277767	2.652646	2.347989	2.109295	2.305514	2.279248	2.182449	2.182389	2.262223	2.193749	2.401727	2.207271	2.024855	2.340179	2.027472	2.527938	2.039627	2.367528	2.271462	2.007257	2.006605	2.129313	1.988187	1.856091	2.065886	2.441876	2.110507	2.075301	2.217864	1.968393	2.159893	2.338576	2.63462	2.007025	2.460035	2.006771	2.237674	2.610243	1.937655	1.965798	2.08587
